original_disease,cleaned_disease,prevalence_percentage,category,acute_chronic,verified_classification,common_name
Enterotoxigenic Escherichia coli infection,Enterotoxigenic Escherichia coli infection,5.0,Infectious Disease,Acute,common disease,Enterotoxigenic Escherichia coli infection
Giardiasis,Giardiasis,2.5,Infectious Disease,Both,common disease,Giardia infection
Chlamydial infection,Chlamydial infection,3.0,Infectious Disease,Both,common disease,Chlamydia
Trichomoniasis,Trichomoniasis,3.7,Infectious Disease,Both,common disease,Trichomoniasis
Herpes simplex infection,Herpes simplex infection,67.0,Infectious Disease,Chronic,common disease,Herpes
Streptococcal pharyngitis,Streptococcal pharyngitis,5.0,Infectious Disease,Acute,common disease,Strep throat
Dengue,Dengue,3.9,Infectious Disease,Acute,common disease,Dengue fever
Conjunctivitis,Conjunctivitis,6.0,Eye Disorder,Acute,common disease,Pink eye
Influenza,Influenza,10.0,Infectious Disease,Acute,common disease,Flu
Acute hepatitis B,Hepatitis B,3.5,Infectious Disease,Acute,common disease,Hepatitis B
Acute hepatitis E,Hepatitis E,2.5,Infectious Disease,Acute,common disease,Hepatitis E
Chronic hepatitis B,Chronic hepatitis B,3.5,Infectious Disease,Chronic,common disease,Chronic liver infection
Digital or periungual warts,Digital Warts,10.0,Dermatological Condition,Both,common disease,Digital warts
Molluscum contagiosum,Molluscum contagiosum,3.0,Infectious Disease,Both,common disease,Molluscum
Plantar warts,Plantar warts,10.0,Dermatological Condition,Both,common disease,Plantar warts
Plane warts,Plane warts,5.0,Dermatological Condition,Both,common disease,Common warts
Varicella,Varicella,90.0,Infectious Disease,Acute,common disease,Chickenpox
Zoster,Zoster,30.0,Infectious Disease,Both,common disease,Shingles
Postherpetic polyneuropathy,Postherpetic polyneuropathy,10.0,Neurological Disorder,Chronic,common disease,Shingles nerve pain
Herpes simplex labialis,Herpes simplex labialis,67.0,Infectious Disease,Chronic,common disease,Cold sores
Roseola infantum,Roseola infantum,10.0,Infectious Disease,Acute,common disease,Sixth disease
Erythema infectiosum,Erythema infectiosum,5.0,Infectious Disease,Acute,common disease,Fifth disease
Candidosis,Candidosis,7.5,Infectious Disease,Both,common disease,Yeast infection
Candida balanoposthitis,Candida balanoposthitis,3.5,Infectious Disease,Both,common disease,Yeast infection of the penis
Dermatophytosis,Dermatophytosis,20.0,Fungal Infection,Both,common disease,Tinea corporis
Malassezia folliculitis,Malassezia folliculitis,1.5,Dermatological Disorder,Both,common disease,Fungal acne
Onychomycosis,Onychomycosis,10.0,Fungal Infection,Chronic,common disease,Nail fungus
Plasmodium vivax malaria,Plasmodium vivax malaria,2.5,Infectious Disease,Both,common disease,Vivax malaria
Ascariasis,Ascariasis,25.0,Infectious Disease,Both,common disease,Roundworm infection
Enterobiasis,Enterobiasis,10.0,Infectious Disease,Both,common disease,Pinworm infection
Pediculosis capitis,Pediculosis capitis,10.0,Infectious Disease,Both,common disease,Head lice
Leiomyoma,Leiomyoma,20.0,Gynecological Disorder,Chronic,common disease,Uterine fibroid
Acquired iron deficiency anaemia,Acquired iron deficiency anaemia,20.0,Hematologic Disorder,Chronic,common disease,Iron deficiency anemia
Vitamin B12 deficiency anaemia,Vitamin B12 deficiency anaemia,6.0,Nutritional Deficiency,Chronic,common disease,Pernicious anemia
Hyperhomocysteinaemia,Hyperhomocysteinaemia,5.0,Metabolic Disorder,Chronic,common disease,High homocysteine levels
Type 2 diabetes mellitus,Type 2 diabetes mellitus,8.8,Endocrine Disorder,Chronic,common disease,Type 2 diabetes
Malnutrition-related diabetes mellitus,Malnutrition-related diabetes mellitus,1.5,Metabolic Disorder,Chronic,common disease,Diabetes from malnutrition
Polycystic ovary syndrome,Polycystic Ovary Syndrome,6.5,Endocrine Disorder,Chronic,common disease,Polycystic Ovary Syndrome
Anovulation,Anovulation,10.0,Reproductive Disorder,Chronic,common disease,No ovulation
Oligo-ovulation,Oligo-ovulation,10.0,Reproductive Disorder,Chronic,common disease,Irregular ovulation
Vitamin D deficiency osteomalacia,Vitamin D deficiency osteomalacia,10.0,Metabolic Bone Disorder,Chronic,common disease,Bone softening due to vitamin D deficiency
Vitamin B12 deficiency,Vitamin B12 deficiency,6.0,Nutritional Disorder,Chronic,common disease,B12 deficiency
Primary lactase deficiency,Primary lactase deficiency,68.0,Gastrointestinal Disorder,Chronic,common disease,Lactose intolerance
Nocturnal enuresis,Nocturnal enuresis,10.0,Urinary Disorder,Chronic,common disease,Bedwetting
Encopresis,Encopresis,1.5,Gastrointestinal Disorder,Chronic,common disease,Soiling
Obstructive sleep apnoea,Obstructive sleep apnoea,4.0,Sleep Disorder,Chronic,common disease,Sleep apnea
Simple febrile seizures,Simple Febrile Seizures,2.0,Neurological Disorder,Acute,common disease,Febrile seizures
Migraine,Migraine,14.7,Neurological Disorder,Chronic,common disease,Migraine
Diabetic radiculoplexoneuropathy,Diabetic radiculoplexoneuropathy,1.5,Neurological Disorder,Chronic,common disease,Diabetic nerve pain
Diabetic polyneuropathy,Diabetic polyneuropathy,50.0,Neurological Disorder,Chronic,common disease,Diabetic nerve damage
Carpal tunnel syndrome,Carpal tunnel syndrome,3.8,Musculoskeletal Disorder,Chronic,common disease,Wrist pain syndrome
Infectious blepharitis,Blepharitis,10.0,Eye Disorder,Both,common disease,Eyelid inflammation
Meibomian Gland Dysfunction,Meibomian Gland Dysfunction,20.0,Ophthalmic Disorder,Chronic,common disease,Dry eye syndrome
Acute atopic conjunctivitis,Atopic conjunctivitis,1.5,Allergic Disorder,Both,common disease,Allergic conjunctivitis
Allergic conjunctivitis,Allergic conjunctivitis,15.0,Eye Disorder,Both,common disease,Allergy eye infection
Contact lens-associated corneal infiltrates,Contact lens-associated corneal infiltrates,1.5,Ophthalmic Disorder,Both,common disease,Contact lens-related eye infection
Nonproliferative diabetic retinopathy,Nonproliferative diabetic retinopathy,30.0,Eye Disorder,Chronic,common disease,Diabetic eye disease
Hypertensive retinopathy,Hypertensive retinopathy,10.0,Eye Disorder,Chronic,common disease,High blood pressure eye disease
Radiation retinopathy,Radiation retinopathy,5.0,Eye Disorder,Chronic,common disease,Radiation eye damage
Intermediate age related macular degeneration,Intermediate Age-Related Macular Degeneration,1.5,Eye Disorder,Chronic,common disease,Age-related vision loss
Age related macular degeneration,Age-related macular degeneration,8.7,Eye Disorder,Chronic,common disease,Macular degeneration
Ocular hypertension,Ocular hypertension,3.0,Eye Disorder,Chronic,common disease,Eye pressure
Convergence insufficiency,Convergence insufficiency,2.5,Visual Disorder,Chronic,common disease,Eye teaming problems
Myopia,Myopia,28.3,Eye Disorder,Chronic,common disease,Nearsightedness
Hypermetropia,Hypermetropia,25.0,Vision Disorder,Chronic,common disease,Farsightedness
Astigmatism,Astigmatism,30.0,Vision Disorder,Chronic,common disease,Blurred vision
Anisometropia,Anisometropia,2.5,Visual Disorder,Chronic,common disease,Unequal vision
Impacted cerumen,Impacted cerumen,10.0,Ear Disorder,Both,common disease,Earwax blockage
Acute serous or mucoid otitis media,Otitis Media,10.0,Ear Disorder,Both,common disease,Otitis Media
