code,description,classification
1A00,Cholera,emergency disease
1A01,Intestinal infection due to other Vibrio,common disease
1A02,Intestinal infections due to Shigella,common disease
1A03.0,Enteropathogenic Escherichia coli infection,common disease
1A03.1,Enterotoxigenic Escherichia coli infection,common disease
1A03.2,Enteroinvasive Escherichia coli infection,common disease
1A03.3,Enterohaemorrhagic Escherichia coli infection,common disease
1A03.Y,Intestinal infections due to other specified Escherichia coli,not a valid entry
1A03.Z,Intestinal infections due to Escherichia coli unspecified,not a valid entry
1A04,Enterocolitis due to Clostridium difficile,common disease
1A05,Intestinal infections due to Yersinia enterocolitica,common disease
1A06,Gastroenteritis due to Campylobacter,common disease
1A07.0,Typhoid peritonitis,emergency disease
1A07.Y,Other specified typhoid fever,not a valid entry
1A07.Z,Typhoid fever unspecified,not a valid entry
1A08,Paratyphoid Fever,common disease
1A09,Infections due to other Salmonella,common disease
1A0Y,Other specified bacterial intestinal infections,not a valid entry
1A0Z,Bacterial intestinal infections unspecified,not a valid entry
1A10,Foodborne staphylococcal intoxication,common disease
1A11.0,Foodborne intoxication by botulinum toxin,emergency disease
1A11.1,Other forms of botulism,not a valid entry
1A11.Z,Botulism unspecified,not a valid entry
1A12,Foodborne Clostridium perfringens intoxication,common disease
1A13,Foodborne Bacillus cereus intoxication,common disease
1A1Y,Other specified bacterial foodborne intoxications,not a valid entry
1A1Z,Bacterial foodborne intoxications unspecified,not a valid entry
1A20,Enteritis due to Adenovirus,common disease
1A21,Gastroenteritis due to Astrovirus,common disease
1A22,Gastroenteritis due to Rotavirus,common disease
1A23,Enteritis due to Norovirus,common disease
1A24,Intestinal infections due to Cytomegalovirus,common disease
1A2Y,Other specified viral intestinal infections,not a valid entry
1A2Z,Viral intestinal infections unspecified,not a valid entry
1A30,Infections due to Balantidium coli,common disease
1A31,Giardiasis,common disease
1A32,Cryptosporidiosis,common disease
1A33.0,Cystoisosporiasis of small intestine,common disease
1A33.1,Cystoisosporiasis of colon,common disease
1A33.Y,Other specified cystoisosporiasis,not a valid entry
1A33.Z,Cystoisosporiasis unspecified,not a valid entry
1A34,Sarcocystosis,rare disease
1A35,Blastocystosis,rare disease
1A36.00,Acute amoebiasis,common disease
1A36.01,Amoeboma of intestine,emergency disease
1A36.0Z,Intestinal infections due to Entamoeba unspecified,not a valid entry
1A36.10,Amoebic liver abscess,emergency disease
1A36.11,Amoebic lung abscess,emergency disease
1A36.12,Cutaneous amoebiasis,common disease
1A36.1Y,Amoebiasis of other specified sites,not a valid entry
1A36.Z,Amoebiasis unspecified,not a valid entry
1A3Y,Other specified protozoal intestinal infections,not a valid entry
1A3Z,Protozoal intestinal infections unspecified,not a valid entry
1A40.0,Gastroenteritis or colitis without specification of origin,not a valid entry
1A40.Z,Infectious gastroenteritis or colitis without specification of infectious agent,not a valid entry
1A60.0,Early congenital syphilis symptomatic,not a valid entry
1A60.1,Early congenital syphilis latent,not a valid entry
1A60.2,Late congenital syphilitic oculopathy,not a valid entry
1A60.3,Late congenital neurosyphilis,not a valid entry
1A60.4,Late congenital syphilis symptomatic,not a valid entry
1A60.5,Late congenital syphilis latent,not a valid entry
1A60.Z,Congenital syphilis unspecified,not a valid entry
1A61.0,Primary genital syphilis,common disease
1A61.1,Primary anal syphilis,common disease
1A61.2,Primary syphilis of other sites,common disease
1A61.3,Secondary syphilis of skin or mucous membranes,common disease
1A61.4,Secondary syphilis of other sites,common disease
1A61.5,Latent early syphilis,not a valid entry
1A61.Y,Other specified early syphilis,not a valid entry
1A61.Z,Early syphilis unspecified,not a valid entry
1A62.00,Asymptomatic neurosyphilis,not a valid entry
1A62.01,Symptomatic late neurosyphilis,emergency disease
1A62.0Z,Neurosyphilis unspecified,not a valid entry
1A62.1,Cardiovascular late syphilis,emergency disease
1A62.20,Ocular late syphilis,emergency disease
1A62.21,Late syphilis involving the musculoskeletal system,emergency disease
1A62.22,Late syphilis of skin or mucous membranes,emergency disease
1A62.2Y,Symptomatic late syphilis of other specified sites,emergency disease
1A62.2Z,Symptomatic late syphilis of other sites unspecified,not a valid entry
1A62.Y,Other specified late syphilis,not a valid entry
1A62.Z,Late syphilis unspecified,not a valid entry
