disease_name,symptoms,causes,treatment_options,diagnosis_methods,risk_factors,prevention,prognosis,inheritance_pattern,family_risk_increase,age_of_onset_influence,severity_influence,screening_recommendations,hereditary_factors,genetic_risk_assessment,processing_timestamp
Exposure to chemical explosion with undetermined intent,Not specified,Exposure to chemical mutagens in the environment,Not specified,Genetic screening,Not specified,Early intervention and prevention through genetic screening,Not specified,Not specified,Family members can take appropriate preventive and monitoring measures to detect and treat potential health problems early,Not specified,Not specified,Genetic screening can detect an individual's risk of developing certain diseases before clinical symptoms appear,Not specified,Genetic screening can help assess health risks and develop tailored health management plans,2025-05-31T15:26:26.702348
Neoplasms of unknown behaviour of unspecified respiratory organ or intrathoracic organ,abnormal growth of tissue,genetic mutations; inherited conditions; exposure to radiation; carcinogenic substances; occupational hazards,Not specified,histologic confirmation,family history of similar growths; exposure to chemicals; asbestos exposure,Not specified,Neoplasms of uncertain behaviour pose a unique challenge due to their unpredictable nature.,hereditary component suggested,family history may increase risk,Not specified,Not specified,Not specified,Not specified,Genetic mutations or inherited conditions can increase the likelihood of developing neoplasms of uncertain behaviour.,2025-05-31T15:26:27.048624
Traumatic amputation of right foot at ankle level,phantom limb pain; dysesthesia at the level of the absent limb,motor vehicle accidents; industrial accidents; combat injuries; crush injuries; severe burns,wound care; pain management; rehabilitation,clinical assessment; imaging studies,peripheral artery disease; hypertension; high thrombocyte levels; diabetes; smoking,safety measures in industrial settings; road safety education; management of chronic conditions,"The prognosis can vary significantly based on the severity of the injury and the patient's overall health, but recovery may involve ongoing pain management and rehabilitation.",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,2025-05-31T15:26:28.422784
Paraphimosis,inability to return the foreskin to its normal position; swelling of the foreskin and tip of the penis; pain in the affected area; dark red or blue discoloration of the tip of the penis,pulling back the foreskin for cleaning or stretching; medical procedures such as catheterization; incomplete circumcision; forcibly retracting the foreskin before it is ready,manual reduction by pressing on the head of the penis while pushing the foreskin forward; surgical intervention such as circumcision if manual reduction fails,physical examination; observation of symptoms,being uncircumcised; age (more common in adolescents and older men); diabetes; history of bacterial infections,avoiding forcible retraction of the foreskin; proper hygiene practices,The outcome is likely to be excellent if the condition is diagnosed and treated quickly.,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,2025-05-31T15:26:28.625411
Multiple open wounds of thoracic wall,breathing difficulties; chest pain; internal bleeding; shock,penetrating injuries; blunt force trauma; accidents; assaults,surgical intervention; wound care; pain management; antibiotics,"physical examination; imaging studies (X-ray, CT scan); patient history","high-risk activities (e.g., sports, combat); lack of protective gear; previous chest injuries",use of seatbelts; wearing protective gear during high-risk activities; safety training,The prognosis varies depending on the severity of the wounds and associated injuries; timely medical intervention is crucial.,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,2025-05-31T15:26:28.720320
Transient tachypnoea of newborn,Rapid breathing rate (over 60 breaths per minute); Grunting sounds with breathing; Flaring of the nostrils; Retractions (pulling in at the ribs with breathing),Delayed postpartum resorption of fetal lung fluid; Cesarean section without labor; Maternal conditions such as diabetes and asthma,Oxygen therapy; Antibiotics; Diuretics; Intravenous fluids for nutrition if feeding is withheld,Monitoring the baby for 2 to 3 days; Exclusion of other respiratory conditions,Cesarean delivery; Maternal diabetes; Maternal asthma,Not specified,"Transient tachypnea of the newborn is a benign, self-limited condition that usually resolves within 3 days.",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,2025-05-31T15:26:29.152916
Abrasion of throat,sore throat; difficulty swallowing; pain during swallowing; redness in the throat,viral infections; bacterial infections; irritants and toxins; allergic reactions,antibiotics for bacterial infections; corticosteroids for symptom relief; gargles; acetaminophen or NSAIDs for pain relief,physical examination; throat swab for bacterial testing; history of symptoms,exposure to irritants; allergies; weakened immune system; recent infections,avoiding irritants; good hygiene practices; staying hydrated; avoiding close contact with infected individuals,"Most cases resolve without complications, but persistent symptoms may require further evaluation.",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,2025-05-31T15:26:37.038445
Fracture avulsion or collateral ligament rupture of medial malleolus with fracture of fibula above syndesmosis and fracture of posterior margin of distal tibia,pain in the ankle; swelling around the ankle; bruising; difficulty bearing weight,trauma or injury to the ankle; twisting motion of the ankle,surgical fixation for unstable fractures; nonsurgical treatment for stable fractures,physical examination; X-rays; MRI for soft tissue evaluation,high-impact sports; falls; previous ankle injuries,strengthening exercises for ankle stability; proper footwear; avoiding high-risk activities,"With appropriate treatment, most patients can expect a good recovery, although some may develop arthritis if not treated properly.",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,2025-05-31T15:26:37.741525
Cranio-cervical dissociation,neck pain; headache; Horner's syndrome; cranial-nerve palsy; neurological symptoms; autonomic symptoms,Ehlers-Danlos syndrome (EDS); traumatic injuries; degenerative diseases such as rheumatoid arthritis,occipito-cervical fusion; conservative treatments,clinical evaluation; upright MRI; digital motion X-ray; flexion-extension scans,genetic disorders; trauma to the neck; prior history of neck and musculoskeletal pain; jobs that require a lot of desk work; low social support; job insecurity; physical weakness; poor computer station setup,Not specified,"The prognosis for patients varies significantly based on the severity of the instability, underlying cause, and treatment success. Some may require surgery, and residual symptoms from coexisting conditions can persist.",autosomal dominant inheritance and autosomal recessive inheritance,family history of connective tissue disorders may increase risk,Not specified,Not specified,Not specified,Ehlers-Danlos syndrome (EDS); connective tissue disorders,"The most common genetic cause of cranio-cervical dissociation is Ehlers-Danlos syndrome, particularly the hypermobile type.",2025-05-31T15:26:40.004010
Other specified malignant neoplasms of kidney except renal pelvis,Blood in urine; Flank pain; Loss of appetite; Unexplained weight loss; Persistent tiredness; Fever; Night sweats,Exact causes are unknown; Inherited genetic changes in certain genes,Surgery; Chemotherapy; Radiation therapy,"Medical history evaluation; Imaging tests (e.g., CT scan, MRI)",Excess body weight; High blood pressure; Family history of kidney cancer; Smoking; Long-term dialysis,Quit smoking; Maintain a healthy weight; Manage blood pressure,Prognosis varies based on stage at diagnosis and treatment response.,Hereditary cancer syndromes account for 5%-8% of kidney cancers.,Higher risk for individuals with a strong family history of kidney cancer.,Average age of diagnosis is 64.,Not specified,Not specified,Inherited cancer syndromes; Pathogenic variants in certain genes,Genetic counseling may be recommended for individuals with a family history of kidney cancer.,2025-05-31T15:26:40.579944
